f.test	kruskal.test	component boosting	random Forst	foldChange	
CLIC4	0	0	0	0	NA
POLR2J4	0	0	0	0	NA
S100A9	0	0	0	0	NA
TLR4	0	0	0	0	NA
STARD4	0	0	0	0	NA
FHL3	0	0	0	0	NA
TANC2	0	0	0	0	NA
CTBS	0	0	0	0	NA
DPH1	0	0	0	0	NA
AREG	0	0	0	0	NA
IFIT2	0	0	0	0	NA
ARHGEF3	0	1	0	0	NA
OLIG2	0	1	0	0	NA
ACSL1	0	0	0	0	NA
NMI	0	0	0	0	NA
DACH1	0	0	0	0	NA
CSF1	0	0	0	0	NA
WDFY3	0	0	0	0	NA
TLR6	0	0	0	0	NA
PNPLA6	0	0	0	0	NA
CPEB4	0	0	0	0	NA
VAV1	0	0	0	0	NA
CARD16	0	0	0	0	NA
FAM129A	0	0	0	0	NA
GIMAP2	0	0	0	0	NA
HMG20B	0	0	0	0	NA
ABHD3	0	0	0	0	NA
S1PR1	0	0	0	0	NA
LAP3	0	0	0	0	NA
LOC100505812	0	0	0	0	NA
TMLHE	0	0	0	0	NA
ARL4C	0	0	0	0	NA
KRCC1	0	0	0	0	NA
CREB5	0	0	0	0	NA
YES1	0	0	0	0	NA
RNF149	0	1	0	0	NA
ZNF395	0	0	0	0	NA
SIGLEC5	0	0	0	0	NA
ACN9	0	0	0	0	NA
CLEC4D	0	0	0	0	NA
JARID2-AS1	0	0	0	0	NA
PKIB	0	0	0	0	NA
HERC5	0	0	0	0	NA
SYNE1	0	0	0	0	NA
CXCL10	0	0	0	0	NA
RBM7	0	0	0	0	NA
AP3M1	0	0	0	0	NA
IGLC1	0	0	0	0	NA
TRIM5	0	0	0	0	NA
FAM160B1	0	0	0	0	NA
CASP1	0	0	0	0	NA
STK3	0	0	0	0	NA
CDC73	0	1	0	0	NA
CR1	0	0	0	0	NA
MARCKSL1	0	0	0	0	NA
GAPT	0	0	0	0	NA
CLOCK	0	0	0	0	NA
TNFSF10	0	0	0	0	NA
CST1	0	0	0	0	NA
CPPED1	0	0	0	0	NA
NDFIP2	0	0	0	0	NA
PDCD2	0	0	0	0	NA
ASAP1-IT1	0	0	0	0	NA
SPG11	0	0	0	0	NA
POC1B	0	0	0	0	NA
KLHL15	0	0	0	0	NA
NAIP	0	0	0	0	NA
LOC101927066	0	0	0	0	NA
MIR142	0	0	0	0	NA
OAS1	0	0	0	0	NA
APOL3	0	0	0	0	NA
ATAD2B	0	0	0	0	NA
IL6ST	0	0	0	0	NA
RAB11FIP3	0	0	0	0	NA
GADD45A	0	0	0	0	NA
CXCR2	0	0	0	0	NA
SPATA13	0	0	0	0	NA
PARP8	0	0	0	0	NA
IGLV@	0	0	0	0	NA
OAS3	0	0	0	0	NA
MSRB1	0	0	0	0	NA
SLC7A11-AS1	0	0	0	0	NA
MRVI1	0	0	0	0	NA
PIGK	0	0	0	0	NA
VNN2	0	0	0	0	NA
NSUN7	0	0	0	0	NA
PTPN7	0	0	0	0	NA
UGCG	0	0	0	0	NA
BPIFB1	0	0	0	0	NA
BAZ1A	0	0	0	0	NA
FGFR1OP2	0	0	0	0	NA
GZMB	0	1	0	0	NA
KLRC4-KLRK1	0	0	0	0	NA
LOC158402	0	0	0	0	NA
OR4F3	0	0	0	0	NA
LRRC8D	0	0	0	0	NA
CD93	0	0	0	0	NA
DENND5B	0	0	0	0	NA
AMELX	0	0	0	0	NA
R3HCC1	0	0	0	0	NA
LOC100506860	0	0	0	0	NA
GORASP2	0	0	0	0	NA
PRF1	0	1	0	0	NA
NFAT5	0	0	0	0	NA
UNC5B	0	0	0	0	NA
CDR1	0	0	0	0	NA
CLPTM1	0	0	0	0	NA
LRP5L	0	0	0	0	NA
IL1R2	0	0	0	0	NA
NELFCD	0	0	0	0	NA
DPY19L1	0	0	0	0	NA
TREML2	0	0	0	0	NA
LINC01366	0	0	0	0	NA
REPS2	0	0	0	0	NA
FLOT1	0	0	0	0	NA
FLJ44896	0	0	0	0	NA
IL18RAP	0	0	0	0	NA
CLEC12A	0	0	0	0	NA
SPINT1	0	0	0	0	NA
LOC100506235	0	0	0	0	NA
EPB41L5	0	0	0	0	NA
RYR1	0	0	0	0	NA
ING2	0	0	0	0	NA
LOC731424	0	0	0	0	NA
RNF125	0	0	0	0	NA
PHC2	0	0	0	0	NA
AKAP11	0	0	0	0	NA
LOC100127886	0	0	0	0	NA
PSMB8-AS1	0	0	0	0	NA
MAFF	0	0	0	0	NA
LOC100129406	0	0	0	0	NA
MBOAT1	0	0	0	0	NA
MIR101-1	0	0	0	0	NA
SERPINB8	0	0	0	0	NA
GTPBP10	0	0	0	0	NA
SLC25A37	0	0	0	0	NA
MGAM	0	0	0	0	NA
LOC642236	0	0	0	0	NA
VNN3	0	0	0	0	NA
LMO4	0	0	0	0	NA
DYSF	0	0	0	0	NA
MRPS10	0	0	0	0	NA
HIST1H2AC	0	0	0	0	NA
VPS36	0	0	0	0	NA
PIGP	0	0	0	0	NA
INAFM1	0	0	0	0	NA
IDI2-AS1	0	0	0	0	NA
SYNE2	0	0	0	0	NA
TSPAN2	0	1	0	0	NA
CD3E	0	0	0	0	NA
TMEM14B	0	0	0	0	NA
PITPNA	0	0	0	0	NA
RHOH	0	0	0	0	NA
DOCK5	0	0	0	0	NA
RELL1	0	0	0	0	NA
NSMCE1	0	0	0	0	NA
TRANK1	0	0	0	0	NA
NBN	0	0	0	0	NA
MYO6	0	0	0	0	NA
ZNF557	0	0	0	0	NA
SNX30	0	1	0	0	NA
TNIP1	0	0	0	0	NA
TTC7A	0	0	0	0	NA
NKG7	0	0	0	0	NA
SAMSN1	0	0	0	0	NA
FBXL13	0	0	0	0	NA
KIAA0100	0	0	0	0	NA
WWP1	0	0	0	0	NA
PTGER2	0	0	0	0	NA
SLAMF1	0	0	0	0	NA
TRBC1	0	0	0	0	NA
TBC1D4	0	0	0	0	NA
NSL1	0	1	0	0	NA
MEFV	0	0	0	0	NA
DCSTAMP	0	0	0	0	NA
NUP98	0	0	0	0	NA
CD8A	0	0	0	0	NA
SPA17	0	0	0	0	NA
DESI2	0	0	0	0	NA
LOC100506258	0	0	0	0	NA
PLD3	0	0	0	0	NA
HMMR	0	0	0	0	NA
BBS10	0	0	0	0	NA
RRAS2	0	1	0	0	NA
GNG2	0	0	0	0	NA
DDIT4	0	0	0	0	NA
LMAN1	0	0	0	0	NA
KLHDC8B	0	0	0	0	NA
SLC25A36	0	0	0	0	NA
MRPS25	0	0	0	0	NA
LRCH1	0	0	0	0	NA
ADM	0	1	0	0	NA
LINC01002	0	0	0	0	NA
PPFIBP2	0	0	0	0	NA
NOLC1	0	1	0	0	NA
TNFAIP3	0	1	0	0	NA
ADORA2A	0	0	0	0	NA
ZNF28	0	0	0	0	NA
IFITM3	0	0	0	0	NA
KLHL42	0	0	0	0	NA
SLAMF7	0	0	0	0	NA
SLC7A5	0	0	0	0	NA
LPCAT1	0	0	0	0	NA
PARN	0	0	0	0	NA
PREPL	0	0	0	0	NA
FAM65B	0	0	0	0	NA
GNLY	0	0	0	0	NA
MAP3K8	0	0	0	0	NA
ATP1B1	0	0	0	0	NA
MIOS	0	0	0	0	NA
SULT1B1	0	0	0	0	NA
ZCCHC6	0	0	0	0	NA
CLEC4E	0	0	0	0	NA
IFITM1	0	0	0	0	NA
CLEC2D	0	0	0	0	NA
POLR2M	0	0	0	0	NA
BRAF	0	0	0	0	NA
CDC40	0	0	0	0	NA
RNF19B	0	0	0	0	NA
FAM162A	0	0	0	0	NA
ZFP69B	0	0	0	0	NA
SLC25A20	0	0	0	0	NA
FPR2	0	0	0	0	NA
LCP2	0	0	0	0	NA
TMEM88	0	0	0	0	NA
C11orf31	0	0	0	0	NA
ETV5	0	0	0	0	NA
SMCHD1	0	0	0	0	NA
NINJ1	0	0	0	0	NA
SPACA6P	0	0	0	0	NA
PTP4A3	0	0	0	0	NA
LINC01000	0	0	0	0	NA
HLA-DMB	0	0	0	0	NA
RNF175	0	0	0	0	NA
SCGB1A1	0	0	0	0	NA
N4BP1	0	0	0	0	NA
LINC01136	0	0	0	0	NA
ARHGAP26	0	0	0	0	NA
MYH10	0	0	0	0	NA
ZNF570	0	0	0	0	NA
IFITM2	0	0	0	0	NA
TBPL1	0	0	0	0	NA
CD300LF	0	0	0	0	NA
ETFA	0	0	0	0	NA
CXCR1	0	0	0	0	NA
FTSJ2	0	0	0	0	NA
PHF19	0	0	0	0	NA
CYB5D1	0	0	0	0	NA
RLF	0	0	0	0	NA
LIPA	0	0	0	0	NA
FAM135A	0	0	0	0	NA
ANTXR2	0	0	0	0	NA
KCNJ15	0	0	0	0	NA
MRPL57	0	0	0	0	NA
LIMK2	0	0	0	0	NA
SORD	0	0	0	0	NA
LOC388210	0	0	0	0	NA
NLRP2	0	0	0	0	NA
CD177	0	0	0	0	NA
LINC01093	0	0	0	0	NA
